event, shooter, shooter_name, shooter_offensive_rating, dist, x, y, shot_angle, shooter_velocity, fg_percentage_zone, closest_defender, closest_defender_name, closest_defender_defensive_rating, closest_defender_dist, closest_defender_angle, closest_defender_velocity, num_close_defenders, shot_clock, score_margin, quarter, make
460, 203115, Will Barton, 105.0, 54.44801230977124, 29.62959, -23.73487, 1.108591763748009, 0.003950194117065648,28.35820895522388, 2738, Andre Iguodala, 105.0, 4.051308687251564, 1.4756426094155335, 0.0027732580117977254,2, 19, 6, 4, 0
462, 203546, Ian Clark, 102.0, 44.265414668106295, 92.62863, -19.08625, 1.6607990203777667, 0.007274172859887833,58.490566037735846, 200751, Randy Foye, 110.66666666666669, 3.785901970970728, 2.215883637192828, 0.006460835742211443,3, 16, 8, 4, 1
465, 203914, Gary Harris, 110.0, 32.00658863560751, 24.27481, -0.812269999999998, 0.9381530083214306, 0.011918372309170368,29.545454545454547, 202691, Klay Thompson, 106.69356796116504, 8.694953233962792, 2.316050735120287, 0.006442811134318584,1, 7, -5, 4, 1
466, 202691, Klay Thompson, 104.37388483373884, 37.42946861067894, 65.85393, -4.686770000000003, 0.9159457883812469, 0.008534970346316397,48.03493449781659, 202702, Kenneth Faried, 107.0, 5.310296872614559, 1.4763378181978206, 0.0061518908729348626,1, 24, -5, 4, 0
468, 202702, Kenneth Faried, 116.0, 50.94847215441303, 8.15079, -25.87143, 1.5157956077956867, 0.00575865426536969,61.53846153846154, 203546, Ian Clark, 106.0, 2.3093061915865536, 2.793886705907736, 0.0021762767455846765,2, 24, -3, 4, 1
474, 202691, Klay Thompson, 104.37388483373884, 53.49197833219669, 71.58759, -25.69779, 1.2461523528878156, 0.013656626397558644,28.07017543859649, 201568, Danilo Gallinari, 111.0, 10.379664269970393, 1.4101353116538078, 0.004708809516480471,0, 24, 4, 4, 1
475, 203115, Will Barton, 105.0, 52.98664659201693, 9.38052, -27.83313, 1.494656067371939, 0.0025396334012017857,41.17647058823529, 203110, Draymond Green, 100.0, 2.9896622687688312, 0.26384775682437056, 0.00742545699351226,3, 24, -4, 4, 0
477, 203110, Draymond Green, 115.0, 34.33665504659562, 71.15567, -4.5458, 1.0361993390838902, 0.008062694714703158,38.18181818181819, 202702, Kenneth Faried, 107.0, 4.3892880467907265, 2.1537366083917733, 0.006565252094360076,1, 7, -4, 4, 0
480, 2749, Jameer Nelson, 99.0, 49.78332381678527, 36.10105, -14.150379999999998, 0.9049844508916829, 0.0006456362466576626,35.714285714285715, 203110, Draymond Green, 100.0, 11.506822582946171, 0.6445837441800084, 0.006962404779193713,0, 23, 4, 4, 0
482, 202691, Klay Thompson, 104.37388483373884, 48.92716943850013, 67.30114, -19.02379, 1.119269816587048, 0.005507717005626679,44.44444444444444, 203914, Gary Harris, 111.0, 7.602487558325891, 1.4460704780666827, 0.009328028109708727,1, 23, 4, 4, 0
484, 201568, Danilo Gallinari, 120.0, 54.01646559480914, 5.74244, -29.01504, 1.5635310707637637, 0.0058579360032119795,50.43103448275862, 2738, Andre Iguodala, 105.0, 0.6722063909990754, 2.553037791758404, 0.0011679563903180365,4, 6, -4, 4, 0
485, 201568, Danilo Gallinari, 120.0, 59.304938376512965, 17.75926, -32.99212, 1.35999355407135, 0.006261121155591897,50.43103448275862, 202691, Klay Thompson, 106.69356796116504, 4.1342518334518505, 2.775213607406133, 0.0066252257791715955,3, 23, 4, 4, 0
488, 203914, Gary Harris, 110.0, 63.745890908218556, 49.91388, -25.62659, 0.9176796735849962, 0.006835819674698818,34.48275862068966, 203546, Ian Clark, 106.0, 13.734591195244946, 2.4150341662573354, 0.004410348186368023,0, 23, -4, 4, 0
490, 203115, Will Barton, 105.0, 55.98210239724568, 24.63186, -27.55669, 1.2191658162323393, 0.009446769492591307,50.0, 2738, Andre Iguodala, 105.0, 12.426761472149531, 1.0577937535513877, 0.0027539905897279943,0, 17, 4, 4, 0
493, 203115, Will Barton, 105.0, 49.049216710116795, 10.65966, -23.76098, 1.462332103126162, 0.006173976375615111,41.17647058823529, 203110, Draymond Green, 100.0, 2.4415666054809986, 2.480871605016958, 0.006700475701169255,3, 9, -4, 4, 0
