,shot_clock,pass_successful,backcourt,dist,passer_basket_dist,ball_end_basket_dist,basket_angle,closest_def_dist_passer,closest_def_dist_ball_end,closest_def_trajectory,closest_def_angle_passer,closest_def_angle_ball_end,closest_def_trajectory_angle
127,14.82,1,1,25.607045103896702,31.40910377167104,11.029368916497445,2.28239256088177,11.277118186602465,4.066722351993065,1.52828622106987,2.720545587855203,2.7563295786008646,2.7563295786008646
128,16.4,1,1,16.21951139428374,30.61039230717732,16.61739384469178,2.7759029624263096,7.8169540269148365,12.32970521465943,0.29326242387774737,2.3170815800113442,2.657406528256852,0.02904385313764224
129,11.2,1,1,14.975701150069733,21.841374655021145,25.045218411441336,2.5054426830532064,4.628455312304529,4.380456588644611,0.6415685588086943,0.5362650985954828,2.9946023370648795,2.9946023370648795
130,10.08,1,1,8.588411135128544,8.697540022615597,10.516219682614098,2.2330091690345117,2.2917507144102705,8.368525886779581,0.39021335602951546,1.2926919360288045,2.710290652623968,3.029707485625633
131,8.49,1,1,9.696838098024532,8.115245641691942,1.6060369991068069,0.19112926537601757,4.101476521656564,2.1992347547499342,0.2937870753436862,3.031394728637904,2.896421746505276,3.123895800067774
132,8.13,0,0,0.0,25.566041930654812,25.566041930654812,3.141592653589793,60.4079322685258,60.4079322685258,100000.0,,,
133,18.49,1,1,23.32724444243683,34.61132832821069,15.588350144656104,2.551825393971773,5.390002196400293,18.18511317228463,1.4254858596803157,2.8739398837882586,3.0631246375662977,3.0631246375662977
134,13.76,1,1,11.766834874531892,7.812323605362234,8.44647434809341,1.5246867315163632,3.474514202417365,7.613200229299108,0.7860070418951939,2.4073706504710275,1.8644096326498716,0.20529465580632159
135,10.57,1,1,14.363065670590665,27.823328345638306,31.601257231523242,2.6699037580121248,9.901145559550168,4.492653914391805,0.43545640935879304,3.097598056072577,3.044513922925366,3.044513922925366
136,1.45,1,1,15.525315485454716,15.45750339703343,3.2748733922703037,1.6560789771332824,2.4240308331578606,2.257382907749592,0.6150801291121255,1.0317838247767985,2.022993978856229,0.19381373652970116
137,16.1,1,1,8.860815483847974,27.25532964838254,19.716314037223093,2.940407172898601,4.986041625177231,4.188798265517206,0.1979064897352579,2.9016136376758936,2.854755832350889,0.017792739364913705
138,8.74,1,1,28.785694639964827,25.55383424800279,6.478193482360647,1.1552665460427403,7.456376614314758,3.355855989594906,0.742669148769449,1.9252620455245544,2.139255974547149,2.982896737295034
139,20.12,1,0,28.899736833855425,6.401530802753355,28.457641448294687,1.613686877929613,5.255518434579029,25.660147138208306,0.32903227807460705,2.30877536263662,2.98948036236988,3.10528143719187
140,23.06,1,0,10.322055905414386,26.116747766421838,19.814332570202815,2.7802800059316195,5.416946843204205,4.921585479212974,0.2913882568512638,3.087774705162554,3.0823518328180755,3.0823518328180755
141,19.35,1,1,9.373661968649191,10.447735298101701,4.175915621477523,2.030668495811062,4.656666260716992,2.8521447867350602,2.8123644069595892,0.7944885315565217,1.4035834380066838,1.4035834380066838
142,12.72,1,1,15.24300235760659,24.218292235159772,23.45326710281534,2.491424179467834,5.397198245256514,26.480070505089298,0.5051533083282235,2.144678159405999,2.1613465843345767,3.067141433627535
143,11.68,1,1,11.067885086162576,25.07356349881285,14.285403245708537,3.0108532893236335,2.496223141067317,10.254652828570062,1.0946936975744168,2.0115099586912484,2.9196103292542652,0.23120356692691124
144,22.14,1,0,23.348138959861455,8.394335629345541,24.40225867819822,1.870107421862507,14.18782751653332,9.376690010835388,1.5588357472289,3.0314990392479984,2.974571350805118,2.974571350805118
145,19.11,1,1,15.941541791624172,25.171683055787117,37.41215005437271,2.807234175798747,6.461369239162859,31.0475051850193,1.8115579823949826,1.4934982458739205,3.083211554936002,3.083211554936002
146,17.76,1,1,20.988526914759884,27.31363976738545,6.328871255611067,3.11138257868748,7.9917745143991645,4.878297339625784,0.23205715920800896,3.054632646173151,3.0940054012695066,3.0940054012695066
147,18.24,1,1,6.33161422551942,24.8418008284927,30.43207749284462,3.0334156330257573,3.942443433836427,3.4284948639599837,1.880661992072508,2.6443208456127527,2.5609771676462945,2.5609771676462945
148,16.0,1,1,3.60756666812964,21.40357089743906,24.011880229563452,3.0316028110857958,3.0687540807956553,1.0225913499536305,0.7947286382059372,2.879632463743471,2.251434487210189,2.251434487210189
149,13.92,1,1,7.036030078737584,10.056166085541758,9.067194209836918,2.3948339911052083,1.4495419528251015,7.322232869726284,0.5051296451730828,1.4721858113823003,2.9432928450905465,2.9838326337463554
